age,gender,event_date,event_state
,,14/12/2016,SC
,,14/12/2016,NY
,male,14/12/2016,WI
48,male,15/12/2016,KS
,male,15/12/2016,MA
30,male,15/12/2016,TX
30,male,15/12/2016,MO
,,16/12/2016,SC
48,male,19/12/2016,FL
59,male,19/12/2016,FL
50,male,19/12/2016,TX
62,male,19/12/2016,GA
,,20/12/2016,CA
54,male,20/12/2016,AR
,,21/12/2016,TX
,,21/12/2016,FL
58,male,22/12/2016,CO
,,23/12/2016,PA
30,male,23/12/2016,NY
,,24/12/2016,TN
42,male,24/12/2016,OH
,,27/12/2016,OH
,,24/12/2016,TN
,,29/12/2016,SD
,,30/12/2016,CA
