age,gender,event_date,event_state
44,,2018/06/04,MO
,male,2018/06/04,DC
38,,2018/06/03,GA
,,2018/06/02,MO
,male,2018/06/01,NC
53,,2018/06/01,FL
,,2018/05/31,CA
,,2018/05/31,CA
,,2018/05/30,NM
,male,2018/05/29,NE
47,,2018/05/29,FL
,male,2018/05/27,TX
67,,2018/05/26,NY
,,2018/05/25,NC
,,2018/05/24,TN
,male,2018/05/24,NY
47,,2018/05/23,WI
,male,2018/05/23,TX
24,male,2018/05/23,NC
20,,2018/05/23,MI
,male,2018/05/23,DC
63,,2018/05/22,WA
,,2018/05/22,TX
,male,2018/05/22,TX
61,male,2018/05/22,SD
52,,2018/05/21,AZ
,male,2018/05/17,TX
21,,2018/05/17,TN
,male,2018/05/17,TN
48,,2018/05/17,TN
,,2018/05/17,NH
,,2018/05/14,VA
,,2018/05/14,TX
,,2018/05/14,IN
,male,2018/05/12,TX
,,2018/05/11,WV
,,2018/05/11,TX
,,2018/05/10,TX
,male,2018/05/10,MS
25,male,2018/05/10,CO
24,,2018/05/10,CO
,male,2018/05/09,FL
,,2018/05/09,CA
,,2018/05/08,TX
,,2018/05/08,NJ
,male,2018/05/07,SC
54,,2018/05/07,MD
,male,2018/05/07,MA
27,,2018/05/07,LA
,,2018/05/07,IA
,,2018/05/06,SC
,,2018/05/06,FL
,,2018/05/04,TN
,,2018/05/03,TX
,male,2018/05/03,TN
34,,2018/05/03,SD
,,2018/05/03,OH
,,2018/05/03,FL
,,2018/05/03,AR
,,2018/05/02,WV
,,2018/05/02,FL
,,2018/05/02,AL
,,2018/05/01,TX
,,2018/05/01,TN
,male,2018/05/01,SC
47,male,2018/05/01,NJ
40,male,2018/05/01,NC
42,,2018/05/01,MA
,,2018/05/01,LA
,male,2018/05/01,FL
72,,2018/05/01,FL
,,2018/05/01,FL
,,2018/05/01,CA
,,2018/05/01,CA
,,2018/05/01,AZ
,,2018/04/30,TX
,,2018/04/30,OK
,,2018/04/30,CA
,,2018/04/28,ID
,,2018/04/27,TX
,,2018/04/27,SC
,,2018/04/27,MI
,female,2018/04/27,IN
55,,2018/04/27,CT
,,2018/04/27,CA
,,2018/04/27,CA
,,2018/04/26,NJ
,,2018/04/26,NJ
,,2018/04/26,AR
,,2018/04/26,AL
,male,2018/04/25,WY
35,,2018/04/25,IN
,,2018/04/25,CA
,male,2018/04/24,TN
23,,2018/04/24,MO
,,2018/04/23,MO
,,2018/04/21,PR
,,2018/04/20,WV
,male,2018/04/20,PR
56,male,2018/04/19,MO
45,,2018/04/18,OH
,,2018/04/18,FL
,,2018/04/17,NY
,,2018/04/17,MI
,male,2018/04/16,TX
61,male,2018/04/13,TX
,,2018/04/13,PA
,,2018/04/13,NY
,male,2018/04/13,IN
30,male,2018/04/12,PA
46,,2018/04/11,TX
,,2018/04/11,SC
,,2018/04/11,KS
,male,2018/04/10,CA
30,male,2018/04/09,CA
43,,2018/04/09,AR
,,2018/04/06,WV
,,2018/04/06,SC
,male,2018/04/06,IA
41,,2018/04/06,FL
,,2018/04/06,FL
,,2018/04/06,AZ
,,2018/04/05,TX
,,2018/04/05,NY
,,2018/04/05,CA
,,2018/04/05,CA
,male,2018/04/04,TN
57,male,2018/04/04,NY
25,male,2018/04/04,CO
,male,2018/04/03,VA
56,,2018/04/03,MA
,,2018/04/02,MS
,,2018/04/02,FL
,,2018/03/29,GA
,,2018/03/07,NJ
,,2018/02/26,MI
,male,2018/02/19,FL
48,,2017/12/16,MA
,,2018/03/31,TX
,male,2018/03/30,FL
,,2018/03/30,OR
,,2018/03/29,NY
,,2018/03/28,CA
,male,2018/03/26,WV
53,,2018/03/26,NV
,,2018/03/23,TN
,,2018/03/23,CO
,,2018/03/22,IN
,male,2018/03/22,CO
54,,2018/03/21,TX
,,2018/03/21,TX
,male,2018/03/20,PA
39,,2018/03/20,CO
,,2018/03/19,TX
,,2018/03/18,AZ
,,2018/03/16,NC
,,2018/03/16,IL
,male,2018/03/16,CA
,male,2018/03/15,WI
37,,2018/03/15,FL
,,2018/03/14,TX
,male,2018/03/12,GA
,,2018/03/09,OH
,male,2018/03/09,LA
46,male,2018/03/09,UT
,,2018/03/08,WA
,,2018/03/08,TX
,male,2018/03/08,NC
37,male,2018/03/07,CO
29,male,2018/03/07,CO
34,,2018/03/07,NY
,,2018/03/06,CA
,,2018/03/06,VA
,,2018/03/06,TX
,,2018/03/06,PR
,male,2018/03/06,OR
,,2018/03/05,TX
54,,2018/03/03,VA
,,2018/03/01,OK
,,2018/03/01,MA
,,2018/03/01,ID
,,2018/03/01,NY
,male,2018/02/28,TN
48,,2018/02/27,AZ
,male,2018/02/26,IN
,male,2018/02/24,TX
,,2018/02/20,SC
,,2018/02/20,NY
,male,2018/02/20,NC
45,,2018/02/17,PA
,,2018/02/16,OK
,,2018/02/16,TX
,male,2018/02/16,IN
,,2018/02/15,OK
,,2018/02/14,FL
,,2018/02/14,TX
,,2018/02/12,TX
,male,2018/02/12,TN
,,2018/02/09,TN
,,2018/02/08,TX
,male,2018/02/07,CA
,,2018/02/05,TX
,male,2018/02/04,MO
,,2018/01/29,TX
,,2018/01/29,NC
,,2018/01/28,SC
,,2018/01/28,FL
,,2018/01/25,AL
,,2018/01/24,NV
,male,2018/01/24,MS
,,2018/01/21,OR
,male,2018/01/21,OR
,,2018/01/19,SC
,,2018/01/19,FL
,,2018/01/18,CA
,male,2018/01/18,NJ
,male,2018/01/12,TX
,,2018/01/12,WV
,,2018/01/11,TX
,male,2018/01/10,NE
,,2018/01/09,TX
,,2018/01/08,TX
55,male,2018/10/15,SC
44,male,2018/10/15,NJ
24,male,2018/10/16,PA
38,male,2018/10/17,NC
46,male,2018/10/16,OR
59,male,2018/10/12,IA
,,2018/10/17,PA
26,male,2018/10/12,WY
36,male,2018/10/17,AZ
68,male,2018/10/14,CA
41,male,2018/10/15,PA
27,male,2018/10/16,MS
54,male,2018/10/16,CO
33,male,2018/10/17,WV
62,female,2018/10/18,AL
49,male,2018/10/18,FL
66,male,2018/10/17,KS
48,male,2018/10/20,MI
30,male,2018/10/20,GA
70,male,2018/10/17,WA
60,male,2001/09/11,NY
57,male,2018/09/21,CA
18,male,2018/09/20,CA
,male,2018/06/08,TX
70,male,2018/06/11,NY
54,male,2018/06/11,WA
56,male,2018/10/06,GA
37,male,2018/10/07,OH
43,male,2018/10/05,MD
,,2018/10/08,NC
35,male,2018/10/08,TX
66,male,2018/10/06,CA
40,male,2018/10/09,UT
55,male,2018/10/09,IL
77,male,2001/09/11,NY
50,male,2018/10/11,LA
56,male,2018/10/13,PA
59,male,2018/10/10,CT
55,male,2018/10/09,NC
61,male,2018/10/11,PA
26,male,2018/09/16,NJ
51,female,2018/09/19,WA
31,male,2018/06/04,NJ
61,male,2018/06/20,FL
25,male,2018/06/18,MI
65,male,2018/06/18,IN
42,male,2018/06/11,VA
57,female,2018/06/15,IL
34,female,2018/06/13,CA
33,male,2018/06/14,CA
,male,2018/06/15,IA
76,male,2018/06/14,NY
61,male,2018/06/12,CA
,,2018/09/22,FL
44,male,2018/09/21,NH
61,male,2018/10/12,WI
43,male,2018/10/11,VA
35,male,2018/10/11,PA
49,male,2018/10/11,IN
58,male,2018/10/11,FL
,,2018/09/24,TN
37,male,2018/09/24,MN
61,male,2018/09/10,IA
57,female,2018/09/11,OH
50,male,2018/09/12,OR
60,male,2018/09/12,CA
56,male,2018/09/12,GU
50,male,2018/05/29,IN
64,male,2018/09/27,IN
57,male,2018/09/30,WV
51,female,2018/09/27,AZ
30,male,2018/10/02,VA
47,male,2018/10/03,AL
65,male,2018/09/29,CO
43,male,2018/09/27,CA
55,male,2018/09/13,ME
24,male,2018/09/07,LA
31,male,2018/09/12,NY
60,,2018/09/13,IN
35,male,2018/06/05,PA
,male,2018/06/19,TN
68,male,2018/06/20,NJ
18,male,2018/06/21,IL
41,male,2018/06/22,FL
40,male,2018/06/21,SC
62,male,2018/06/22,AR
24,male,2018/06/26,GA
33,male,2018/06/24,OH
46,male,2018/06/24,TX
18,male,2018/10/01,AK
85,female,2018/10/02,IL
57,female,2018/10/02,IL
41,male,2018/09/27,ME
32,male,2018/10/03,PA
20,male,2018/09/13,GA
47,male,2018/09/12,NY
19,female,2018/09/14,OH
29,male,2018/09/13,AL
56,male,2018/09/14,WA
41,male,2018/09/14,TX
52,male,2018/06/27,GA
41,male,2018/07/28,CA
36,male,2018/06/29,TX
34,male,2018/07/02,MO
33,male,2018/07/02,MI
,male,2018/09/13,TX
41,male,2018/09/16,KS
,male,2018/09/15,UT
,male,2018/09/15,NY
,male,2018/09/15,NY
,male,2018/07/02,MD
